,part_id,word,property,score,reaction_time,slider_order
328,6503093.0,computer_virus,goal_setting,1.0,27736.40000000596,1
329,6503093.0,computer_virus,complexity,30.0,27736.40000000596,1
330,6503093.0,computer_virus,monitoring,3.0,27736.40000000596,1
331,6503093.0,computer_virus,reaction,30.0,27736.40000000596,1
332,6503093.0,computer_virus,variety,11.0,27736.40000000596,1
333,6503093.0,computer_virus,mistakes,27.0,27736.40000000596,1
334,6503093.0,computer_virus,learning,9.0,27736.40000000596,1
335,6503093.0,computer_virus,goal_directedness,4.0,27736.40000000596,1
336,6503093.0,chimpanzee,agency,41.0,31130.70000000298,1
337,6503093.0,chimpanzee,movement,100.0,31130.70000000298,1
338,6503093.0,chimpanzee,replication,100.0,31130.70000000298,1
339,6503093.0,chimpanzee,freewill,57.0,31130.70000000298,1
340,6503093.0,chimpanzee,energy,100.0,31130.70000000298,1
341,6503093.0,chimpanzee,communication,56.0,31130.70000000298,1
342,6503093.0,chimpanzee,goal_setting,66.0,31130.70000000298,1
343,6503093.0,chimpanzee,complexity,100.0,31130.70000000298,1
344,6503093.0,chimpanzee,monitoring,56.0,31130.70000000298,1
345,6503093.0,chimpanzee,reaction,59.0,31130.70000000298,1
346,6503093.0,chimpanzee,variety,71.0,31130.70000000298,1
347,6503093.0,chimpanzee,mistakes,77.0,31130.70000000298,1
348,6503093.0,chimpanzee,learning,58.0,31130.70000000298,1
349,6503093.0,chimpanzee,goal_directedness,68.0,31130.70000000298,1
350,6503093.0,biological_virus,agency,1.0,33878.70000000298,1
351,6503093.0,biological_virus,movement,48.0,33878.70000000298,1
352,6503093.0,biological_virus,replication,60.0,33878.70000000298,1
353,6503093.0,biological_virus,freewill,1.0,33878.70000000298,1
354,6503093.0,biological_virus,energy,17.0,33878.70000000298,1
355,6503093.0,biological_virus,communication,1.0,33878.70000000298,1
356,6503093.0,biological_virus,goal_setting,2.0,33878.70000000298,1
357,6503093.0,biological_virus,complexity,38.0,33878.70000000298,1
358,6503093.0,biological_virus,monitoring,1.0,33878.70000000298,1
359,6503093.0,biological_virus,reaction,44.0,33878.70000000298,1
360,6503093.0,biological_virus,variety,49.0,33878.70000000298,1
361,6503093.0,biological_virus,mistakes,1.0,33878.70000000298,1
362,6503093.0,biological_virus,learning,2.0,33878.70000000298,1
363,6503093.0,biological_virus,goal_directedness,3.0,33878.70000000298,1
364,6503093.0,autonomous_car,agency,8.0,65953.69999999553,1
365,6503093.0,autonomous_car,movement,24.0,65953.69999999553,1
366,6503093.0,autonomous_car,replication,1.0,65953.69999999553,1
367,6503093.0,autonomous_car,freewill,4.0,65953.69999999553,1
368,6503093.0,autonomous_car,energy,97.0,65953.69999999553,1
369,6503093.0,autonomous_car,communication,9.0,65953.69999999553,1
370,6503093.0,autonomous_car,goal_setting,60.0,65953.69999999553,1
371,6503093.0,autonomous_car,complexity,99.0,65953.69999999553,1
372,6503093.0,autonomous_car,monitoring,68.0,65953.69999999553,1
373,6503093.0,autonomous_car,reaction,79.0,65953.69999999553,1
374,6503093.0,autonomous_car,variety,52.0,65953.69999999553,1
375,6503093.0,autonomous_car,mistakes,92.0,65953.69999999553,1
376,6503093.0,autonomous_car,learning,94.0,65953.69999999553,1
377,6503093.0,autonomous_car,goal_directedness,19.0,65953.69999999553,1
378,6503093.0,wristwatch,agency,3.0,1133294.100000009,1
379,6503093.0,wristwatch,movement,4.0,1133294.100000009,1
380,6503093.0,wristwatch,replication,2.0,1133294.100000009,1
381,6503093.0,wristwatch,freewill,1.0,1133294.100000009,1
382,6503093.0,wristwatch,energy,46.0,1133294.100000009,1
