,part_id,word,reaction_time,slider_order,energy,complexity,movement,replication,communication,monitoring,reaction,variety,mistakes,learning,goal_setting,freewill,agency,goal_directedness
217,6503081.0,hammer,18049.60000002384,3,51.0,0.0,0.0,0.0,0.0,0.0,100.0,47.0,100.0,0.0,0.0,0.0,0.0,0.0
220,6503096.0,rock,91060.89999997616,3,25.0,65.0,71.0,16.0,1.0,1.0,79.0,35.0,0.0,1.0,3.0,41.0,12.0,3.0
221,6503096.0,human,36749.39999997616,3,78.0,90.0,99.0,99.0,95.0,87.0,89.0,92.0,100.0,93.0,92.0,93.0,77.0,93.0
237,6503096.0,hammer,161145.0,3,54.0,57.0,2.0,1.0,7.0,5.0,5.0,11.0,6.0,10.0,10.0,7.0,7.0,12.0
240,6503087.0,rock,41640.59999999998,3,8.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241,6503087.0,human,60609.79999999999,3,99.0,100.0,100.0,70.0,72.0,76.0,83.0,100.0,100.0,71.0,78.0,74.0,57.0,74.0
257,6503087.0,hammer,19041.5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0
260,6503107.0,rock,181553.89999999895,3,12.0,2.0,9.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
261,6503107.0,human,49376.70000000799,3,100.0,100.0,94.0,100.0,99.0,100.0,100.0,100.0,100.0,100.0,74.0,84.0,82.0,69.0
277,6503107.0,hammer,40265.10000000405,3,98.0,0.0,0.0,0.0,0.0,0.0,3.0,95.0,0.0,0.0,0.0,0.0,0.0,90.0
280,6503110.0,rock,146865.89999997616,3,51.0,0.0,0.0,1.0,2.0,2.0,36.0,51.0,1.0,1.0,0.0,2.0,0.0,2.0
281,6503110.0,human,70461.10000002384,3,100.0,98.0,98.0,68.0,99.0,98.0,99.0,98.0,97.0,86.0,99.0,46.0,48.0,99.0
297,6503110.0,hammer,50689.80000001192,3,98.0,4.0,2.0,1.0,2.0,1.0,3.0,48.0,1.0,1.0,1.0,1.0,50.0,1.0
300,6503092.0,human,90230.0,4,88.0,88.0,63.0,15.0,78.0,46.0,64.0,79.0,88.0,69.0,46.0,56.0,13.0,48.0
301,6503092.0,rock,49006.0,4,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
