Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1642616803190,19/01/2022 18:26:43,1642616803357,1,19/01/2022 19:26:43,70408,19,questionnaire-vssi,,18653608,5d42a9f671d697001af667fc,5521547,,complete,,61e8554b64c69f332f6f6a68,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1920x1080,1920x937,,goodbye,1,No,BEGIN QUESTIONNAIRE,
2,1642616804987,19/01/2022 18:26:44,1642616805221,1,19/01/2022 19:26:45,70408,19,questionnaire-vssi,,18653608,5d42a9f671d697001af667fc,5521547,,complete,,61e8554b64c69f332f6f6a68,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1920x1080,1920x937,,goodbye,1,No,END QUESTIONNAIRE,1864
1,1642616824542,19/01/2022 18:27:04,1642616825497,1,19/01/2022 19:27:05,70408,19,questionnaire-vssi,,18653619,6106fd38393f15b301d745d2,5521626,,complete,,61e855f4f10164a94b064eb4,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1536x864,1536x722,,goodbye,1,No,BEGIN QUESTIONNAIRE,
2,1642616829687,19/01/2022 18:27:09,1642616830678,1,19/01/2022 19:27:10,70408,19,questionnaire-vssi,,18653619,6106fd38393f15b301d745d2,5521626,,complete,,61e855f4f10164a94b064eb4,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1536x864,1536x722,,goodbye,1,No,END QUESTIONNAIRE,5181
1,1642616841820,19/01/2022 18:27:21,1642616838851,2,19/01/2022 20:27:18,70408,19,questionnaire-vssi,,18653631,60ad33772c5d282d6a2021e8,5521552,,complete,,61e8554924f9b2bbee488cf9,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1440x820,,goodbye,1,No,BEGIN QUESTIONNAIRE,
2,1642616843945,19/01/2022 18:27:23,1642616840998,2,19/01/2022 20:27:20,70408,19,questionnaire-vssi,,18653631,60ad33772c5d282d6a2021e8,5521552,,complete,,61e8554924f9b2bbee488cf9,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1440x820,,goodbye,1,No,END QUESTIONNAIRE,2147
1,1642616875197,19/01/2022 18:27:55,1642616875107,2,19/01/2022 20:27:55,70408,19,questionnaire-vssi,,18653646,6163f0438cdf8e3d44667f2f,5521578,,complete,,61e8559b884943b8b0b9be78,computer,Desktop or Laptop,Windows 10,Opera 82.0.4227.50,1536x864,1183x794,,goodbye,1,No,BEGIN QUESTIONNAIRE,
2,1642616879626,19/01/2022 18:27:59,1642616879577,2,19/01/2022 20:27:59,70408,19,questionnaire-vssi,,18653646,6163f0438cdf8e3d44667f2f,5521578,,complete,,61e8559b884943b8b0b9be78,computer,Desktop or Laptop,Windows 10,Opera 82.0.4227.50,1536x864,1183x794,,goodbye,1,No,END QUESTIONNAIRE,4470
1,1642616905752,19/01/2022 18:28:25,1642616905371,-6,19/01/2022 12:28:25,70408,19,questionnaire-vssi,,18653675,61133b44c0f877a21f27c3ee,5521539,,complete,,61e8553176cccc485ca7cfbf,computer,Desktop or Laptop,Mac OS 10.15.7,Opera 82.0.4227.58,2560x1440,1435x1310,,goodbye,1,No,BEGIN QUESTIONNAIRE,
2,1642616911673,19/01/2022 18:28:31,1642616911289,-6,19/01/2022 12:28:31,70408,19,questionnaire-vssi,,18653675,61133b44c0f877a21f27c3ee,5521539,,complete,,61e8553176cccc485ca7cfbf,computer,Desktop or Laptop,Mac OS 10.15.7,Opera 82.0.4227.58,2560x1440,1435x1310,,goodbye,1,No,END QUESTIONNAIRE,5918
1,1642616910224,19/01/2022 18:28:30,1642616909576,2,19/01/2022 20:28:29,70408,19,questionnaire-vssi,,18653678,6166ef334de9e433e83bfb79,5521582,,complete,,61e8559a4d3aa7f6ceb12bca,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1366x768,1366x657,,goodbye,1,No,BEGIN QUESTIONNAIRE,
2,1642616916349,19/01/2022 18:28:36,1642616915744,2,19/01/2022 20:28:35,70408,19,questionnaire-vssi,,18653678,6166ef334de9e433e83bfb79,5521582,,complete,,61e8559a4d3aa7f6ceb12bca,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1366x768,1366x657,,goodbye,1,No,END QUESTIONNAIRE,6169
1,1642616914930,19/01/2022 18:28:34,1642616914640,-3,19/01/2022 15:28:34,70408,19,questionnaire-vssi,,18653680,6106ce151a47f7b687062eea,5521610,,complete,,61e855f4c69d5c65de2436e9,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1366x768,1366x625,,goodbye,1,No,BEGIN QUESTIONNAIRE,
2,1642616916837,19/01/2022 18:28:36,1642616916586,-3,19/01/2022 15:28:36,70408,19,questionnaire-vssi,,18653680,6106ce151a47f7b687062eea,5521610,,complete,,61e855f4c69d5c65de2436e9,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1366x768,1366x625,,goodbye,1,No,END QUESTIONNAIRE,1946
1,1642616919489,19/01/2022 18:28:39,1642616912516,1,19/01/2022 19:28:32,70408,19,questionnaire-vssi,,18653684,5eaf0e378f26940719d2b02e,5521593,,complete,,61e855dc1d904d265713b9fb,computer,Desktop or Laptop,Windows 7,Chrome 97.0.4692.71,1920x1080,1920x937,,goodbye,1,No,BEGIN QUESTIONNAIRE,
2,1642616921708,19/01/2022 18:28:41,1642616914761,1,19/01/2022 19:28:34,70408,19,questionnaire-vssi,,18653684,5eaf0e378f26940719d2b02e,5521593,,complete,,61e855dc1d904d265713b9fb,computer,Desktop or Laptop,Windows 7,Chrome 97.0.4692.71,1920x1080,1920x937,,goodbye,1,No,END QUESTIONNAIRE,2245
1,1642616941551,19/01/2022 18:29:01,1642616942758,2,19/01/2022 20:29:02,70408,19,questionnaire-vssi,,18653696,611d90d349308db31d30014f,5521635,,complete,,61e855d37728e35658a22d45,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1366x768,1366x625,,goodbye,1,No,BEGIN QUESTIONNAIRE,
2,1642616944997,19/01/2022 18:29:04,1642616946231,2,19/01/2022 20:29:06,70408,19,questionnaire-vssi,,18653696,611d90d349308db31d30014f,5521635,,complete,,61e855d37728e35658a22d45,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1366x768,1366x625,,goodbye,1,No,END QUESTIONNAIRE,3474
1,1642616969491,19/01/2022 18:29:29,1642616970168,0,19/01/2022 18:29:30,70408,19,questionnaire-vssi,,18653712,5fe7b6d7baa7c46725b4e530,5521602,,complete,,61e855f3652090c0bebdbb21,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1536x864,1536x754,,goodbye,1,No,BEGIN QUESTIONNAIRE,
2,1642616971524,19/01/2022 18:29:31,1642616972247,0,19/01/2022 18:29:32,70408,19,questionnaire-vssi,,18653712,5fe7b6d7baa7c46725b4e530,5521602,,complete,,61e855f3652090c0bebdbb21,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1536x864,1536x754,,goodbye,1,No,END QUESTIONNAIRE,2079
1,1642616970355,19/01/2022 18:29:30,1642616970189,0,19/01/2022 18:29:30,70408,19,questionnaire-vssi,,18653715,609d83db80dca3574b10fc71,5521630,,complete,,61e85641a9c6ac7f1f33abe4,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.2,1440x900,1416x725,,goodbye,1,No,BEGIN QUESTIONNAIRE,
2,1642616976378,19/01/2022 18:29:36,1642616976250,0,19/01/2022 18:29:36,70408,19,questionnaire-vssi,,18653715,609d83db80dca3574b10fc71,5521630,,complete,,61e85641a9c6ac7f1f33abe4,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.2,1440x900,1416x725,,goodbye,1,No,END QUESTIONNAIRE,6061
1,1642617051692,19/01/2022 18:30:51,1642617050985,2,19/01/2022 20:30:50,70408,19,questionnaire-vssi,,18653744,60f56f0103876eae7c0d870f,5521585,,complete,,61e85573016c067cad1ab958,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1366x768,1366x625,,goodbye,1,No,BEGIN QUESTIONNAIRE,
2,1642617055393,19/01/2022 18:30:55,1642617054078,2,19/01/2022 20:30:54,70408,19,questionnaire-vssi,,18653744,60f56f0103876eae7c0d870f,5521585,,complete,,61e85573016c067cad1ab958,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1366x768,1366x625,,goodbye,1,No,END QUESTIONNAIRE,3093
1,1642617060588,19/01/2022 18:31:00,1642617061531,0,19/01/2022 18:31:01,70408,19,questionnaire-vssi,,18653750,6090397fdf27ef27909b759c,5521623,,complete,,61e855eaaeead6805d3d1cdf,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1366x768,1366x625,,goodbye,1,No,BEGIN QUESTIONNAIRE,
2,1642617065827,19/01/2022 18:31:05,1642617066602,0,19/01/2022 18:31:06,70408,19,questionnaire-vssi,,18653750,6090397fdf27ef27909b759c,5521623,,complete,,61e855eaaeead6805d3d1cdf,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1366x768,1366x625,,goodbye,1,No,END QUESTIONNAIRE,5071
1,1642617071734,19/01/2022 18:31:11,1642617073339,1,19/01/2022 19:31:13,70408,19,questionnaire-vssi,,18653757,60339afe243dc403d0e2eab1,5521606,,complete,,61e855febfdfed9860cd0380,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1536x864,1536x718,,goodbye,1,No,BEGIN QUESTIONNAIRE,
2,1642617076537,19/01/2022 18:31:16,1642617078286,1,19/01/2022 19:31:18,70408,19,questionnaire-vssi,,18653757,60339afe243dc403d0e2eab1,5521606,,complete,,61e855febfdfed9860cd0380,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1536x864,1536x718,,goodbye,1,No,END QUESTIONNAIRE,4947
1,1642617097498,19/01/2022 18:31:37,1642617039427,2,19/01/2022 20:30:39,70408,19,questionnaire-vssi,,18653773,6141bdf9ebdc730adcc8d332,5521548,,complete,,61e855416d3266ebd1c97e8f,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1098x618,1098x545,,goodbye,1,No,BEGIN QUESTIONNAIRE,
2,1642617103904,19/01/2022 18:31:43,1642617045864,2,19/01/2022 20:30:45,70408,19,questionnaire-vssi,,18653773,6141bdf9ebdc730adcc8d332,5521548,,complete,,61e855416d3266ebd1c97e8f,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1098x618,1098x545,,goodbye,1,No,END QUESTIONNAIRE,6438
