Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
3,1642616420881,19/01/2022 18:20:20,1642616420860,2,19/01/2022 20:20:20,70408,19,questionnaire-hy6v,,18653244,5ea352855d02232c906f62d8,5521583,,complete,,61e855ab445cf7787765af52,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1366x768,1349x663,,Consent form,3,No,END QUESTIONNAIRE,148333
1,1642616271773,19/01/2022 18:17:51,1642616269468,0,19/01/2022 18:17:49,70408,19,questionnaire-hy6v,,18653247,615ddcbe6b2ef828956206f5,5521584,,complete,,61e855c788cfd57e4c4d4237,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,2048x1280,1914x1144,,Consent form,3,No,BEGIN QUESTIONNAIRE,
2,1642616306220,19/01/2022 18:18:26,1642616303939,0,19/01/2022 18:18:23,70408,19,questionnaire-hy6v,,18653247,615ddcbe6b2ef828956206f5,5521584,,complete,,61e855c788cfd57e4c4d4237,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,2048x1280,1914x1144,,Consent form,3,No,ConsentFlag,1
3,1642616306267,19/01/2022 18:18:26,1642616303940,0,19/01/2022 18:18:23,70408,19,questionnaire-hy6v,,18653247,615ddcbe6b2ef828956206f5,5521584,,complete,,61e855c788cfd57e4c4d4237,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,2048x1280,1914x1144,,Consent form,3,No,END QUESTIONNAIRE,34472
1,1642616276494,19/01/2022 18:17:56,1642616275794,2,19/01/2022 20:17:55,70408,19,questionnaire-hy6v,,18653248,60f56f0103876eae7c0d870f,5521585,,complete,,61e85573016c067cad1ab958,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1366x768,1366x625,,Consent form,3,No,BEGIN QUESTIONNAIRE,
2,1642616286844,19/01/2022 18:18:06,1642616285505,2,19/01/2022 20:18:05,70408,19,questionnaire-hy6v,,18653248,60f56f0103876eae7c0d870f,5521585,,complete,,61e85573016c067cad1ab958,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1366x768,1349x625,,Consent form,3,No,ConsentFlag,1
3,1642616287378,19/01/2022 18:18:07,1642616285510,2,19/01/2022 20:18:05,70408,19,questionnaire-hy6v,,18653248,60f56f0103876eae7c0d870f,5521585,,complete,,61e85573016c067cad1ab958,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1366x768,1349x625,,Consent form,3,No,END QUESTIONNAIRE,9716
1,1642616280402,19/01/2022 18:18:00,1642616279111,1,19/01/2022 19:17:59,70408,19,questionnaire-hy6v,,18653253,60143a1a222eb43daf203877,5521587,,complete,,61e855ce0e5182067012072c,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1920x1080,1920x961,,Consent form,3,No,BEGIN QUESTIONNAIRE,
2,1642616299398,19/01/2022 18:18:19,1642616298164,1,19/01/2022 19:18:18,70408,19,questionnaire-hy6v,,18653253,60143a1a222eb43daf203877,5521587,,complete,,61e855ce0e5182067012072c,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1920x1080,1903x961,,Consent form,3,No,ConsentFlag,1
3,1642616299495,19/01/2022 18:18:19,1642616298165,1,19/01/2022 19:18:18,70408,19,questionnaire-hy6v,,18653253,60143a1a222eb43daf203877,5521587,,complete,,61e855ce0e5182067012072c,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1920x1080,1903x961,,Consent form,3,No,END QUESTIONNAIRE,19054
