part_id,word,jelly_fish,robot,virus,chimpanzee,human,artificial_intelligence,god,rock,autonomous_car,computer
6136183.0,computer,2.0,-2.0,2.0,3.0,3.0,1.0,3.0,-1.0,-1.0,
6136177.0,jelly_fish,,-1.0,1.0,1.0,2.0,-2.0,3.0,-2.0,-3.0,-3.0
6136177.0,robot,1.0,,3.0,3.0,2.0,2.0,3.0,-2.0,-2.0,-2.0
6136177.0,virus,-1.0,-3.0,,2.0,-1.0,-2.0,2.0,-2.0,-3.0,-2.0
6136177.0,chimpanzee,-1.0,-3.0,-2.0,,-2.0,-2.0,1.0,-3.0,-2.0,-2.0
6136177.0,human,-2.0,-2.0,1.0,2.0,,-1.0,1.0,-3.0,-3.0,-3.0
6136177.0,artificial_intelligence,2.0,-2.0,2.0,2.0,1.0,,2.0,-2.0,-2.0,-2.0
6136177.0,god,-3.0,-3.0,-2.0,-1.0,-1.0,-2.0,,-3.0,-3.0,-3.0
6136177.0,rock,2.0,2.0,2.0,3.0,3.0,2.0,3.0,,1.0,1.0
6136177.0,autonomous_car,3.0,2.0,3.0,2.0,3.0,2.0,3.0,-1.0,,-1.0
6136177.0,computer,3.0,2.0,2.0,2.0,3.0,2.0,3.0,-1.0,1.0,
6136162.0,jelly_fish,,-3.0,-3.0,1.0,1.0,-2.0,3.0,-3.0,-3.0,-3.0
6136162.0,robot,3.0,,-3.0,3.0,3.0,2.0,3.0,-3.0,-1.0,-1.0
6136162.0,virus,3.0,3.0,,3.0,3.0,3.0,3.0,-1.0,3.0,3.0
6136162.0,chimpanzee,-1.0,-3.0,-3.0,,1.0,-3.0,1.0,-3.0,-2.0,-3.0
6136162.0,human,-1.0,-3.0,-3.0,-1.0,,-2.0,1.0,-3.0,-3.0,-3.0
6136162.0,artificial_intelligence,2.0,-2.0,-3.0,3.0,2.0,,3.0,-3.0,-1.0,-2.0
6136162.0,god,-3.0,-3.0,-3.0,-1.0,-1.0,-3.0,,-3.0,-3.0,-3.0
6136162.0,rock,3.0,3.0,1.0,3.0,3.0,3.0,3.0,,2.0,3.0
6136162.0,autonomous_car,3.0,1.0,-3.0,2.0,3.0,1.0,3.0,-2.0,,-1.0
6136162.0,computer,3.0,1.0,-3.0,3.0,3.0,2.0,3.0,-3.0,1.0,
6136188.0,jelly_fish,,-3.0,-3.0,2.0,3.0,-3.0,-2.0,-2.0,-2.0,-2.0
6136188.0,robot,3.0,,2.0,3.0,3.0,-1.0,-1.0,1.0,1.0,1.0
6136188.0,virus,3.0,-2.0,,3.0,3.0,-2.0,-3.0,-2.0,-2.0,-1.0
6136188.0,chimpanzee,-2.0,-3.0,-3.0,,3.0,-2.0,-3.0,-3.0,-2.0,-3.0
6136188.0,human,-3.0,-3.0,-3.0,-3.0,,-3.0,-3.0,-3.0,-3.0,-3.0
6136188.0,artificial_intelligence,3.0,1.0,2.0,2.0,3.0,,1.0,1.0,1.0,1.0
6136188.0,god,2.0,1.0,3.0,3.0,3.0,-1.0,,1.0,1.0,1.0
6136188.0,rock,2.0,-1.0,2.0,3.0,3.0,-1.0,-1.0,,1.0,-1.0
6136188.0,autonomous_car,2.0,-1.0,2.0,2.0,3.0,-1.0,-1.0,-1.0,,-1.0
6136188.0,computer,2.0,-1.0,1.0,3.0,3.0,-1.0,-1.0,1.0,1.0,
6136189.0,jelly_fish,,-3.0,-2.0,2.0,3.0,-3.0,-3.0,-3.0,-2.0,-3.0
6136189.0,robot,3.0,,1.0,3.0,3.0,2.0,1.0,-1.0,1.0,-1.0
6136189.0,virus,2.0,-1.0,,3.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0
6136189.0,chimpanzee,-2.0,-3.0,-3.0,,1.0,-3.0,-3.0,-3.0,-2.0,-3.0
6136189.0,human,-3.0,-3.0,-3.0,-1.0,,-3.0,-3.0,-3.0,-3.0,-3.0
6136189.0,artificial_intelligence,3.0,-2.0,1.0,3.0,3.0,,-2.0,-3.0,-2.0,-1.0
6136189.0,god,3.0,-1.0,1.0,3.0,3.0,2.0,,-3.0,2.0,1.0
6136189.0,rock,3.0,1.0,1.0,3.0,3.0,3.0,3.0,,3.0,1.0
6136189.0,autonomous_car,2.0,-1.0,1.0,2.0,3.0,2.0,-2.0,-3.0,,-1.0
6136189.0,computer,3.0,1.0,1.0,3.0,3.0,1.0,-1.0,-1.0,1.0,
6136182.0,jelly_fish,,-2.0,-2.0,-2.0,2.0,-2.0,-1.0,-2.0,2.0,-2.0
6136182.0,robot,2.0,,2.0,2.0,2.0,1.0,1.0,-2.0,3.0,-2.0
6136182.0,virus,2.0,-2.0,,2.0,2.0,-2.0,1.0,-3.0,3.0,-2.0
6136182.0,chimpanzee,2.0,-2.0,-2.0,,1.0,-2.0,-2.0,-2.0,2.0,-3.0
6136182.0,human,-2.0,-2.0,-2.0,-1.0,,-3.0,-2.0,-3.0,3.0,-3.0
6136182.0,artificial_intelligence,2.0,-1.0,2.0,2.0,3.0,,1.0,-2.0,3.0,-1.0
6136182.0,god,1.0,-1.0,-1.0,2.0,2.0,-1.0,,-1.0,2.0,-1.0
6136182.0,rock,2.0,2.0,3.0,2.0,3.0,2.0,1.0,,3.0,1.0
6136182.0,autonomous_car,-2.0,-3.0,-3.0,-2.0,-3.0,-3.0,-2.0,-3.0,,-2.0
6136182.0,computer,2.0,2.0,2.0,3.0,3.0,1.0,1.0,-1.0,2.0,
6136178.0,jelly_fish,,-2.0,2.0,1.0,3.0,-2.0,-1.0,-2.0,-2.0,-3.0
6136178.0,robot,2.0,,2.0,3.0,3.0,1.0,1.0,-1.0,1.0,1.0
6136178.0,virus,-2.0,-2.0,,1.0,2.0,-2.0,-2.0,-3.0,-2.0,-2.0
6136178.0,chimpanzee,-1.0,-3.0,-1.0,,3.0,-3.0,-2.0,-1.0,-3.0,-3.0
6136178.0,human,-3.0,-3.0,-2.0,-3.0,,-3.0,-3.0,-3.0,-3.0,-3.0
6136178.0,artificial_intelligence,2.0,-1.0,2.0,3.0,3.0,,-1.0,-3.0,-2.0,-2.0
6136178.0,god,1.0,-1.0,2.0,2.0,3.0,1.0,,-1.0,1.0,-1.0
6136178.0,rock,2.0,1.0,3.0,1.0,3.0,3.0,1.0,,3.0,3.0
6136178.0,autonomous_car,2.0,-1.0,2.0,3.0,3.0,2.0,-1.0,-3.0,,-1.0
6136178.0,computer,3.0,-1.0,2.0,3.0,3.0,2.0,1.0,-3.0,1.0,
6136199.0,jelly_fish,,2.0,1.0,2.0,-1.0,2.0,3.0,-1.0,2.0,2.0
6136199.0,robot,-2.0,,-2.0,2.0,3.0,2.0,3.0,-2.0,2.0,-2.0
6136199.0,virus,-1.0,2.0,,3.0,-1.0,3.0,3.0,-1.0,2.0,3.0
6136199.0,chimpanzee,-2.0,-2.0,-3.0,,-2.0,-2.0,3.0,-2.0,-3.0,-3.0
6136199.0,human,1.0,-3.0,1.0,2.0,,1.0,2.0,1.0,-1.0,-1.0
